track_name,artist_name,classification,album_name,streams,track_name-1,popularity,acousticness,danceability,energy,instrumentalness,liveness,normalized_loudness,speechiness,normalized_tempo,valence
8TonBall,SB19,boygroup,Simula at Wakas,6187268,8TonBall,71,0.1505,0.6931,0.7569,0,0.1385,0.705567781,0.1481,0.541742890,0.4755
Aitakatta - Gustong Makita,MNL48,girlgroup,Aitakatta,641733,Aitakatta - Gustong Makita,8,0.0361,0.4698,0.8936,0.0052,0.2349,0.776673014,0.1245,1,0.5173
ALAM MO BA,1st.One,boygroup,ALAM MO BA,105619,ALAM MO BA,34,0.0934,0.6395,0.8559,0,0.1684,0.701531339,0.0613,0.493808217,0.5952
Alas Dose,Calista,girlgroup,FOUR,177538,Alas Dose,37,0.164,0.7293,0.6588,0.0072,0.1355,0.492742386,0.0846,0.333664740,0.3164
All These Ladies,BGYO,boygroup,All These Ladies,258499,All These Ladies,55,0.0588,0.5941,0.8381,0,0.1608,0.684598807,0.0812,0.290721053,0.5602
Amigo,PLUUS,boygroup,PLUUS +.Y.M.,548713,Amigo,33,0.0494,0.7338,0.9181,0,0.1807,0.669946751,0.0713,0.395778099,0.6635
Andito Lang,BGYO,boygroup,Andito Lang,1315555,Andito Lang,42,0.0535,0.6021,0.7868,0.004,0.1794,0.440188823,0.0886,0.537338494,0.4079
Bakit Papa?,YARA,girlgroup,Bakit Papa?,690990,Bakit Papa?,33,0.1041,0.729,0.7878,0,0.1292,0.613972475,0.12,0.812889955,0.7046
Bara-Bara,Cloud 7,boygroup,Bara-Bara,45746,Bara-Bara,37,0.0691,0.5086,0.8338,0.0042,0.1801,0.679593163,0.1001,0.253963625,0.3773
BB,YGIG,girlgroup,BB,198100,BB,25,0.1593,0.5877,0.8384,0,0.1859,0.779192940,0.1303,0.712127941,0.6154
BES I LUV U,AJAA,boygroup,BES I LUV U,528531,BES I LUV U,40,0.1641,0.6797,0.8432,0,0.1785,0.539378114,0.0843,0.682746522,0.835
Bling Bling,DIONE,girlgroup,Bling Bling,314307,Bling Bling,25,0.2233,0.703,0.8327,0.0024,0.1381,0.864813400,0.0572,0.392132625,0.5908
Blink Twice,BINI,girlgroup,Blink Twice,33071275,Blink Twice,72,0.4366,0.7709,0.7701,0,0.1599,0.606788976,0.2654,0,0.6418
Break You Down,DIONE,girlgroup,Break You Down,58384,Break You Down,13,0.1475,0.7092,0.8088,0,0.1758,0.800515388,0.1233,0.512010181,0.3922
COLD,HORI7ON,boygroup,COLD,308230,COLD,46,0.0839,0.7157,0.7881,0,0.1359,0.742101002,0.0864,0.624291894,0.7406
Cuppy Cake,AJAA,boygroup,4 Ü,288132,Cuppy Cake,31,0.1433,0.7578,0.5981,0,0.1094,0.404852852,0.1546,0.398355339,0.5527
Dalawa,KAIA,girlgroup,Dalawa,2184962,Dalawa,40,0.5769,0.7134,0.4878,0.001,0.1217,0.313554007,0.1054,0.168250791,0.3757
DAM,SB19,boygroup,DAM,37135695,DAM,74,0.103,0.7374,0.7462,0.0013,0.1471,0.633333713,0.1139,0.376469237,0.3718
Day and Night,Alamat,boygroup,IsaPuso,6564010,Day and Night,50,0.199,0.7443,0.7557,0,0.1338,0.578283030,0.1123,0.752401594,0.6956
Dayang,Alamat,boygroup,IsaPuso,3058100,Dayang,44,0.0722,0.617,0.8399,0.013,0.1387,0.781507622,0.066,0.394729749,0.5826
Dedma,AJAA,boygroup,Dedma,240264,Dedma,39,0.1353,0.7098,0.8676,0,0.1643,0.631007628,0.0963,0.449692455,0.7122
DITO,1st.One,boygroup,DITO,277341,DITO,29,0.3826,0.6539,0.5434,0.001,0.1346,0.318548249,0.0555,0.420306618,0.3251
Divine,BGYO,boygroup,BGYO,1049550,Divine,53,0.1601,0.6351,0.8545,0,0.1665,0.738030353,0.1618,0.381375161,0.5455
Don't Have Time,Calista,girlgroup,Don't Have Time,107097,Don't Have Time,23,0.0315,0.6977,0.8356,0,0.1674,0.724609754,0.0979,0.418542429,0.6638
Doob Doob,YGIG,girlgroup,Doob Doob,323758,Doob Doob,28,0.3002,0.7008,0.6731,0,0.1457,0.590312539,0.1786,0.586551293,0.5457
DUNGKA!,SB19,boygroup,Simula at Wakas,12162153,DUNGKA!,76,0.1232,0.533,0.9165,0.0048,0.2633,0.803137935,0.1014,0.488784091,0.3262
Eksena,YARA,girlgroup,Eksena,251562,Eksena,28,0.0411,0.7627,0.8489,0.0068,0.1595,0.707038688,0.1173,0.460712834,0.4473
Filipina Queen,G22,girlgroup,Filipina Queen,139250,Filipina Queen,46,0.1999,0.5474,0.678,0,0.1598,0.476174730,0.0986,0.065999655,0.3647
Hany,AJAA,boygroup,4 Ü,886187,Hany,37,0.3881,0.6755,0.7862,0,0.1464,0.730960878,0.1413,0.476258020,0.7167
Heartstrings,BGYO,boygroup,BGYO,422635,Heartstrings,47,0.3392,0.6867,0.8285,0.0069,0.1554,0.689079942,0.0768,0.648486797,0.5278
Hiraya,Alamat,boygroup,Hiraya,922994,Hiraya,44,0.1044,0.7584,0.8825,0,0.2033,0.828325789,0.1096,0.259221945,0.7343
IDKY,YGIG,girlgroup,IDKY,186617,IDKY,24,0.0908,0.5977,0.6721,0.0088,0.1493,0.529606276,0.077,0.645727283,0.3359
Ikaw ang Melody,MNL48,girlgroup,Ikaw Ang Melody,466785,Ikaw ang Melody,25,0.0738,0.5548,0.9147,0.0429,0.2113,0.697916785,0.062,0.488818336,0.5936
Karera,BINI,girlgroup,Karera,114596636,Karera,68,0.29,0.6761,0.8111,0,0.1867,0.730664417,0.0912,0.392286176,0.677
Katawan Flow,YARA,girlgroup,Katawan Flow,115208,Katawan Flow,26,0.0817,0.6537,0.5228,0.0109,0.1257,0.252904756,0.0827,0.953069489,0.3854
KAYA,KAIA,girlgroup,KAYA,1518115,KAYA,37,0.0256,0.6202,0.7145,0.0099,0.1798,0.333827436,0.0834,0.441533220,0.4929
Light My Fire,BGYO,boygroup,BGYO,475095,Light My Fire,48,0.0691,0.634,0.626,0.0111,0.144,0.464772352,0.1515,0.337870292,0.2556
Limitless,G22,girlgroup,Limitless,845522,Limitless,42,0.1729,0.6819,0.6109,0.0105,0.136,0.426186703,0.0988,0.138816348,0.5268
LMK (Let Me Know),Calista,girlgroup,LMK (Let Me Know),465402,LMK (Let Me Know),39,0.5008,0.7568,0.5427,0,0.1136,0.461602490,0.1056,0.334670007,0.5422
Louder,Cloud 7,boygroup,Louder,378351,Louder,31,0.0181,0.5709,0.9476,0.004,0.1982,0.806786696,0.0745,0.412434602,0.5565
Maharani,Alamat,boygroup,Pasulong,40696844,Maharani,63,0.1851,0.7175,0.7062,0,0.1509,0.542650597,0.0756,0.236379182,0.6325
Missing You,PLUUS,boygroup,Missing You,335795,Missing You,34,0.4592,0.5218,0.5584,0.0032,0.1174,0.521932475,0.0342,0.695624989,0.2833
Musika,G22,girlgroup,Musika,2150540,Musika,47,0.4135,0.4791,0.5415,0.0053,0.1479,0.502308982,0.0494,0.424581765,0.2202
One Sided Love,G22,girlgroup,One Sided Love,1077489,One Sided Love,43,0.6033,0.5835,0.5927,0.0085,0.1405,0.498614611,0.0552,0.184818919,0.4338
OOPS MY BAD,Calista,girlgroup,FOUR,29243,OOPS MY BAD,25,0.1372,0.6709,0.7081,0,0.129,0.554714313,0.1283,0.791198278,0.6399
Pa-Pa-Pa-Palaban,G22,girlgroup,Pa-Pa-Pa-Palaban,816404,Pa-Pa-Pa-Palaban,46,0.0983,0.7673,0.7952,0.0019,0.1485,0.670972965,0.0922,0.270172729,0.489
Paalam Na,1st.One,boygroup,Paalam Na,193144,Paalam Na,30,0.0538,0.7004,0.7217,0.0089,0.1511,0.273816718,0.0586,0.181166817,0.3602
Pag-ibig Fortune Cookie,MNL48,girlgroup,Pag-ibig Fortune Cookie,1580622,Pag-ibig Fortune Cookie,38,0.1956,0.6664,0.8924,0.0259,0.1809,0.539207079,0.0625,0.391765868,0.7707
Palusot Ko'y Maybe,MNL48,girlgroup,Pag-ibig Fortune Cookie,560828,Palusot Ko'y Maybe,25,0.0223,0.4395,0.8875,0,0.2118,0.771302494,0.0892,0.728193435,0.4659
Pangako,DIONE,girlgroup,Pangako,14891,Pangako,4,0.7945,0.3537,0.2267,0.0119,0.1192,0,0.0259,0.006064744,0.1262
Pantropiko,BINI,girlgroup,Pantropiko,187996978,Pantropiko,71,0.2526,0.6187,0.8082,0,0.1529,0.641988119,0.1017,0.674751887,0.7297
Paulit-Ulit,DIONE,girlgroup,Paulit-Ulit,31886,Paulit-Ulit,13,0.4551,0.5673,0.7053,0.0099,0.1629,0.484897550,0.0828,0.326187099,0.6303
Quit,SB19,boygroup,Simula at Wakas,6169342,Quit,71,0.0636,0.4433,0.7396,0.0285,0.1423,0.718395457,0.0383,0.122577417,0.3274
Runnin',DIONE,girlgroup,Runnin',28256,Runnin',11,0.0293,0.7379,0.7394,0.0153,0.169,0.436528660,0.0823,0.100608463,0.4442
Sa Panaginip Na Lang,Alamat,boygroup,Sa Panaginip Na Lang,6888873,Sa Panaginip Na Lang,48,0.0449,0.5044,0.6331,0.0035,0.1491,0.373211252,0.0458,0.646415505,0.3659
Sabi Ko Na (Remix),YARA,girlgroup,Sabi Ko Na (Remix),16523,Sabi Ko Na (Remix),30,0.2292,0.6151,0.7572,0.0021,0.1637,0.603995393,0.1865,0.481862108,0.4855
Sabi Ko Na,YARA,girlgroup,Sabi Ko Na,62890,Sabi Ko Na,32,0.0594,0.6075,0.6369,0.0057,0.1539,0.298274820,0.0979,0.264379739,0.4225
"Salamin, Salamin",BINI,girlgroup,Talaarawan,186212239,"Salamin, Salamin",71,0.1441,0.7178,0.8567,0,0.146,0.702204080,0.0585,0.447621162,0.7978
Sandal,VXON,boygroup,20:20,1281005,Sandal,37,0.6368,0.7899,0.5308,0,0.1193,0.286290920,0.1097,0.288661912,0.5228
sh*t sobrang init,VXON,boygroup,sh*t sobrang init,332752,sh*t sobrang init,48,0.2278,0.7321,0.6148,0.0012,0.1226,0.411032941,0.048,0.342524347,0.5048
Shaba Shaba,YGIG,girlgroup,Shaba Shaba,625059,Shaba Shaba,29,0.083,0.7381,0.8453,0,0.1757,0.811758133,0.1481,0.411548642,0.5304
Shagidi,BINI,girlgroup,Shagidi,3480788,Shagidi,72,0.1968,0.8131,0.903,0.0081,0.2015,0.802453792,0.2117,0.351077956,0.6246
